ID,Name,Description,Related_Attack_Pattern_IDs,ChildOf_IDs,Modes_of_Introduction_Phase,Potential_Mitigations
1247,Improper Protection Against Voltage and Clock Glitches,The device does not contain or contains incorrectly implemented circuitry or sensors to detect and mitigate voltage and clock glitches and protect sensitive information or software contained on the device.,624;625,1384,Operation,
1248,Semiconductor Defects in Hardware Logic with Security-Sensitive Implications,The security-sensitive hardware module contains semiconductor defects.,624;625,693,Manufacturing;Operation,;
1249,Application-Level Admin Tool with Inconsistent View of Underlying Operating System,"The product provides an application for administrators to manage parts of the underlying operating system, but the application does not accurately identify all of the relevant entities or resources that exist in the OS; that is, the application's model of the OS's state is inconsistent with the OS's actual state.",,1250,Architecture and Design;Implementation,
125,Out-of-bounds Read,"The product reads data past the end, or before the beginning, of the intended buffer.",540,119;119;119;119,Implementation,;Use a language that provides appropriate memory abstractions.
1250,Improper Preservation of Consistency Between Independent Representations of Shared State,The product has or supports multiple distributed components or sub-systems that are each required to keep their own local copy of shared data - such as state or cache - but the product does not ensure that all local copies remain consistent with each other.,,664,,
1251,Mirrored Regions with Different Values,The product's architecture mirrors regions without ensuring that their contents always stay in sync.,,1250,,
1252,CPU Hardware Not Configured to Support Exclusivity of Write and Execute Operations,The CPU is not configured to provide hardware support for exclusivity of write and execute operations on memory. This allows an attacker to execute data from all of memory.,679,284,Architecture and Design,;
1253,Incorrect Selection of Fuse Values,The logic level used to set a system to a secure state relies on a fuse being unblown. An attacker can set the system to an insecure state merely by blowing the fuse.,74,693,Architecture and Design;Implementation,Logic should be designed in a way that blown fuses do not put the product into an insecure state that can be leveraged by an attacker.
1254,Incorrect Comparison Logic Granularity,"The product's comparison logic is performed over a series of steps rather than across the entire string in one operation. If there is a comparison logic failure on one of these steps, the operation may be vulnerable to a timing attack that can result in the interception of the process for nefarious purposes.",26,208;697,Architecture and Design;Implementation,
1255,Comparison Logic is Vulnerable to Power Side-Channel Attacks,A device's real time power consumption may be monitored during security token evaluation and the information gleaned may be used to determine the value of the reference token.,189,1300,Architecture and Design;Implementation,"The design phase must consider each check of a security token against a standard and the amount of power consumed during the check of a good token versus a bad token. The alternative is an all at once check where a retry counter is incremented PRIOR to the check.;Another potential mitigation is to parallelize shifting of secret data (see example 2 below). Note that the wider the bus the more effective the result.;An additional potential mitigation is to add random data to each crypto operation then subtract it out afterwards. This is highly effective but costly in performance, area, and power consumption. It also requires a random number generator.;If the architecture is unable to prevent the attack, using filtering components may reduce the ability to implement an attack, however, consideration must be given to the physical removal of the filter elements.;During integration, avoid use of a single secret for an extended period (e.g. frequent key updates). This limits the amount of data compromised but at the cost of complexity of use."
1256,Improper Restriction of Software Interfaces to Hardware Features,"The product provides software-controllable
			device functionality for capabilities such as power and
			clock management, but it does not properly limit
			functionality that can lead to modification of
			hardware memory or register bits, or the ability to
			observe physical side channels.",624;625,285,Architecture and Design;Implementation,
1257,Improper Access Control Applied to Mirrored or Aliased Memory Regions,"Aliased or mirrored memory regions in hardware designs may have inconsistent read/write permissions enforced by the hardware. A possible result is that an untrusted agent is blocked from accessing a memory region but is not blocked from accessing the corresponding aliased memory region.
			",456;679,284,Architecture and Design;Implementation,"The checks should be applied for consistency access rights between primary memory regions and any mirrored or aliased memory regions. If different memory protection units (MPU) are protecting the aliased regions, their protected range definitions and policies should be synchronized.;The controls that allow enabling memory aliases or changing the size of mapped memory regions should only be programmable by trusted software components."
1258,Exposure of Sensitive System Information Due to Uncleared Debug Information,"The hardware does not fully clear security-sensitive values, such as keys and intermediate values in cryptographic operations, when debug mode is entered.",150;204;37;545,212;200,Architecture and Design;Implementation,
1259,Improper Restriction of Security Token Assignment,"The System-On-A-Chip (SoC) implements a Security Token mechanism to differentiate what actions are allowed or disallowed when a transaction originates from an entity. However, the Security Tokens are improperly protected.",121;681,284;1294,Architecture and Design;Implementation,
126,Buffer Over-read,The product reads from a buffer using buffer access mechanisms such as indexes or pointers that reference memory locations after the targeted buffer.,,125;788,Implementation,
1260,Improper Handling of Overlap Between Protected Memory Ranges,"The product allows address regions to overlap, which can result in the bypassing of intended memory protection.",456;679,284,Architecture and Design;Implementation,;
1261,Improper Handling of Single Event Upsets,The hardware logic does not effectively handle when single-event upsets (SEUs) occur.,,1384,Architecture and Design;Implementation,;
1262,Improper Access Control for Register Interface,"The product uses memory-mapped I/O registers that act as an interface to hardware functionality from software, but there is improper access control to those registers.",680,284,Architecture and Design;Implementation,Design proper policies for hardware register access from software.;Ensure that access control policies for register access are implemented in accordance with the specified design.
1263,Improper Physical Access Control,"The product is designed with access restricted to certain information, but it does not sufficiently protect against an unauthorized actor with physical access to these areas.",401,284,Architecture and Design;Manufacturing,Specific protection requirements depend strongly on contextual factors including the level of acceptable risk associated with compromise to the product's protection mechanism. Designers could incorporate anti-tampering measures that protect against or detect when the product has been tampered with.;The testing phase of the lifecycle should establish a method for determining whether the protection mechanism is sufficient to prevent unauthorized access.;Ensure that all protection mechanisms are fully activated at the time of manufacturing and distribution.
1264,Hardware Logic with Insecure De-Synchronization between Control and Data Channels,The hardware logic for error handling and security checks can incorrectly forward data before the security check is complete.,233;663,821,Architecture and Design;Implementation,
1265,Unintended Reentrant Invocation of Non-reentrant Code Via Nested Calls,"During execution of non-reentrant code, the product performs a call that unintentionally produces a nested invocation of the non-reentrant code.",74,691,,"When architecting a system that will execute untrusted code in response to events, consider executing the untrusted event handlers asynchronously (asynchronous message passing) as opposed to executing them synchronously at the time each event fires. The untrusted code should execute at the start of the next iteration of the thread's message loop. In this way, calls into non-reentrant code are strictly serialized, so that each operation completes fully before the next operation begins. Special attention must be paid to all places where type coercion may result in script execution. Performing all needed coercions at the very beginning of an operation can help reduce the chance of operations executing at unexpected junctures.;Make sure the code (e.g., function or class) in question is reentrant by not leveraging non-local data, not modifying its own code, and not calling other non-reentrant code."
1266,Improper Scrubbing of Sensitive Data from Decommissioned Device,"The product does not properly provide a capability for the product administrator to remove sensitive data at the time the product is decommissioned.  A scrubbing capability could be missing, insufficient, or incorrect.",150;37;545;546;675,404,Architecture and Design;Policy;Implementation,;;
1267,Policy Uses Obsolete Encoding,The product uses an obsolete encoding mechanism to implement access controls.,121;681,284,Architecture and Design;Implementation,
1268,Policy Privileges are not Assigned Consistently Between Control and Data Agents,"The product's hardware-enforced access control for a particular resource improperly accounts for privilege discrepancies between control and write policies.
			   ",180,284,Architecture and Design;Implementation,Access-control-policy definition and programming flow must be sufficiently tested in pre-silicon and post-silicon testing.
1269,Product Released in Non-Release Configuration,The product released to market is released in pre-production or manufacturing configuration.,439,693,Implementation;Integration;Manufacturing,"Ensure that there exists a marker for denoting the Manufacturing Complete stage and that the Manufacturing Complete marker gets updated at the Manufacturing Complete stage (i.e., the Manufacturing Complete fuse gets blown).;Ensure that there exists a marker for denoting the Manufacturing Complete stage and that the Manufacturing Complete marker gets updated at the Manufacturing Complete stage (i.e., the Manufacturing Complete fuse gets blown).;Ensure that there exists a marker for denoting the Manufacturing Complete stage and that the Manufacturing Complete marker gets updated at the Manufacturing Complete stage (i.e., the Manufacturing Complete fuse gets blown)."
127,Buffer Under-read,The product reads from a buffer using buffer access mechanisms such as indexes or pointers that reference memory locations prior to the targeted buffer.,,125;786,Implementation,
1270,Generation of Incorrect Security Tokens,"The product implements a Security Token mechanism to differentiate what actions are allowed or disallowed when a transaction originates from an entity. However, the Security Tokens generated in the system are incorrect.",121;633;681,284;1294,Architecture and Design;Implementation,
1271,Uninitialized Value on Reset for Registers Holding Security Settings,Security-critical logic is not set to a known value on reset.,74,909,Implementation,Design checks should be performed to identify any uninitialized flip-flops used for security-critical functions.;All registers holding security-critical information should be set to a specific value on reset.
1272,Sensitive Information Uncleared Before Debug/Power State Transition,"The product performs a power or debug state transition, but it does not clear sensitive information that should no longer be accessible due to changes to information access restrictions.",150;37;545;546,226,Architecture and Design,"During state transitions, information not needed in the next state should be removed before the transition to the next state."
1273,Device Unlock Credential Sharing,The credentials necessary for unlocking a device are shared across multiple parties and may expose sensitive information.,560,200,Integration;Manufacturing,"Ensure the unlock credentials are shared with the minimum number of parties and with utmost secrecy. To limit the risk associated with compromised credentials, where possible, the credentials should be part-specific.;Ensure the unlock credentials are shared with the minimum number of parties and with utmost secrecy. To limit the risk associated with compromised credentials, where possible, the credentials should be part-specific."
1274,Improper Access Control for Volatile Memory Containing Boot Code,"The product conducts a secure-boot process that transfers bootloader code from Non-Volatile Memory (NVM) into Volatile Memory (VM), but it does not have sufficient access control or other protections for the Volatile Memory.",456;679,284,Architecture and Design,Ensure that the design of volatile-memory protections is enough to prevent modification from an adversary or untrusted code.;Test the volatile-memory protections to ensure they are safe from modification or untrusted code.
1275,Sensitive Cookie with Improper SameSite Attribute,"The SameSite attribute for sensitive cookies is not set, or an insecure value is used.",62,923,Implementation,"Set the SameSite attribute of a sensitive cookie to 'Lax' or 'Strict'. This instructs the browser to apply this cookie only to same-domain requests, which provides a good Defense in Depth against CSRF attacks. When the 'Lax' value is in use, cookies are also sent for top-level cross-domain navigation via HTTP GET, HEAD, OPTIONS, and TRACE methods, but not for other HTTP methods that are more like to cause side-effects of state mutation."
1276,Hardware Child Block Incorrectly Connected to Parent System,Signals between a hardware IP and the parent system design are incorrectly connected causing security risks.,,284,Implementation,System-level verification may be used to ensure that components are correctly connected and that design security requirements are not violated due to interactions between various IP blocks.
1277,Firmware Not Updateable,"The product does not provide its
			users with the ability to update or patch its
			firmware to address any vulnerabilities or
			weaknesses that may be present.",682,1329,Requirements;Architecture and Design;Implementation,Specify requirements to include the ability to update the firmware. Include integrity checks and authentication to ensure that untrusted firmware cannot be installed.;Design the device to allow for updating the firmware. Ensure that the design specifies how to distribute the updates and ensure their integrity and authentication.;Implement the necessary functionality to allow the firmware to be updated.
1278,Missing Protection Against Hardware Reverse Engineering Using Integrated Circuit (IC) Imaging Techniques,Information stored in hardware may be recovered by an attacker with the capability to capture and analyze images of the integrated circuit using techniques such as scanning electron microscopy.,188;37;545,693,Architecture and Design,"The cost of secret extraction via IC reverse engineering should outweigh the potential value of the secrets being extracted. Threat model and value of secrets should be used to choose the technology used to safeguard those secrets. Examples include IC camouflaging and obfuscation, tamper-proof packaging, active shielding, and physical tampering detection information erasure."
1279,Cryptographic Operations are run Before Supporting Units are Ready,Performing cryptographic operations without ensuring that the supporting inputs are ready to supply valid data may compromise the cryptographic result.,97,691;665,Architecture and Design;Implementation,Best practices should be used to design cryptographic systems.;Continuously ensuring that cryptographic inputs are supplying valid information is necessary to ensure that the encrypted output is secure.
128,Wrap-around Error,"Wrap around errors occur whenever a value is incremented past the maximum value for its type and therefore ""wraps around"" to a very small, negative, or undefined value.",92,682,Implementation,Requirements specification: The choice could be made to use a language that is not susceptible to these issues.;Provide clear upper and lower bounds on the scale of any protocols designed.;Perform validation on all incremented variables to ensure that they remain within reasonable bounds.
1280,Access Control Check Implemented After Asset is Accessed,A product's hardware-based access control check occurs after the asset has been accessed.,180,696;284,Implementation,Implement the access control check first. Access should only be given to asset if agent is authorized.
1281,Sequence of Processor Instructions Leads to Unexpected Behavior,Specific combinations of processor instructions lead to undesirable behavior such as locking the processor until a hard reset performed.,212,691,Architecture and Design;Implementation,Implement a rigorous testing strategy that incorporates randomization to explore instruction sequences that are unlikely to appear in normal workloads in order to identify halt and catch fire instruction sequences.;Patch operating system to avoid running Halt and Catch Fire type sequences or to mitigate the damage caused by unexpected behavior.  See [REF-1108].
1282,Assumed-Immutable Data is Stored in Writable Memory,"Immutable data, such as a first-stage bootloader, device identifiers, and ""write-once"" configuration settings are stored in writable memory that can be re-programmed or updated in the field.",458;679,668,Implementation,All immutable code or data should be programmed into ROM or write-once memory.
1283,Mutable Attestation or Measurement Reporting Data,The register contents used for attestation or measurement reporting data to verify boot flow are modifiable by an adversary.,680,284,Architecture and Design;Implementation,
1284,Improper Validation of Specified Quantity in Input,"The product receives input that is expected to specify a quantity (such as size or length), but it does not validate or incorrectly validates that the quantity has the required properties.",,20;20,Implementation,
1285,"Improper Validation of Specified Index, Position, or Offset in Input","The product receives input that is expected to specify an index, position, or offset into an indexable resource such as a buffer or file, but it does not validate or incorrectly validates that the specified index/position/offset has the required properties.",,20,Implementation,
1286,Improper Validation of Syntactic Correctness of Input,"The product receives input that is expected to be well-formed - i.e., to comply with a certain syntax - but it does not validate or incorrectly validates that the input complies with the syntax.",66;676,20,Implementation,
1287,Improper Validation of Specified Type of Input,"The product receives input that is expected to be of a certain type, but it does not validate or incorrectly validates that the input is actually of the expected type.",,20,Implementation,
1288,Improper Validation of Consistency within Input,"The product receives a complex input with multiple elements or fields that must be consistent with each other, but it does not validate or incorrectly validates that the input is actually consistent.",,20,Implementation,
1289,Improper Validation of Unsafe Equivalence in Input,"The product receives an input value that is used as a resource identifier or other type of reference, but it does not validate or incorrectly validates that the input is equivalent to a potentially-unsafe value.",,20,Implementation,
129,Improper Validation of Array Index,"The product uses untrusted input when calculating or using an array index, but the product does not validate or incorrectly validates the index to ensure the index references a valid position within the array.",100,1285;20,Implementation,"Use an input validation framework such as Struts or the OWASP ESAPI Validation API. Note that using a framework does not automatically address all input validation problems; be mindful of weaknesses that could arise from misusing the framework itself (CWE-1173).;;;;;;Be especially careful to validate all input when invoking code that crosses language boundaries, such as from an interpreted language to native code. This could create an unexpected interaction between the language boundaries. Ensure that you are not violating any of the expectations of the language with which you are interfacing. For example, even though Java may not be susceptible to buffer overflows, providing a large argument in a call to native code might trigger an overflow.;Run your code using the lowest privileges that are required to accomplish the necessary tasks [REF-76]. If possible, create isolated accounts with limited privileges that are only used for a single task. That way, a successful attack will not immediately give the attacker access to the rest of the software or its environment. For example, database applications rarely need to run as the database administrator, especially in day-to-day operations.;"
1290,Incorrect Decoding of Security Identifiers ,"The product implements a decoding mechanism to decode certain bus-transaction signals to security identifiers. If the decoding is implemented incorrectly, then untrusted agents can now gain unauthorized access to the asset.",,284;1294,Implementation;Architecture and Design,Security identifier decoders must be reviewed for design consistency and common weaknesses.;Access and programming flows must be tested in pre-silicon and post-silicon testing in order to check for this weakness.
1291,Public Key Re-Use for Signing both Debug and Production Code,The same public key is used for signing both debug and production code.,,693,Implementation,Use different keys for Production and Debug
1292,Incorrect Conversion of Security Identifiers,"The product implements a conversion mechanism to map certain bus-transaction signals to security identifiers. However, if the conversion is incorrectly implemented, untrusted agents can gain unauthorized access to the asset.",,284;1294,Architecture and Design;Implementation,Security identifier decoders must be reviewed for design inconsistency and common weaknesses.;Access and programming flows must be tested in pre-silicon and post-silicon testing.
1293,Missing Source Correlation of Multiple Independent Data,"The product relies on one source of data, preventing the ability to detect if an adversary has compromised a data source.",,345,Architecture and Design;Implementation;Operation,"Design system to use a Practical Byzantine fault method, to request information from multiple sources to verify the data and report on potentially compromised information sources.;Failure to use a Practical Byzantine fault method when requesting data. Lack of place to report potentially compromised information sources. Relying on non-independent information sources for integrity checking. Failure to report information sources that respond in the minority to incident response procedures."
1294,Insecure Security Identifier Mechanism,"The System-on-Chip (SoC) implements a Security Identifier mechanism to differentiate what actions are allowed or disallowed when a transaction originates from an entity. However, the Security Identifiers are not correctly implemented.",121;681,284,Architecture and Design;Implementation,Security Identifier Decoders must be reviewed for design inconsistency and common weaknesses.;Access and programming flows must be tested in pre-silicon and post-silicon testing.
1295,Debug Messages Revealing Unnecessary Information,The product fails to adequately prevent the revealing of unnecessary and potentially sensitive system information within debugging messages.,121,200,Implementation,Ensure that a debug message does not reveal any unnecessary information during the debug process for the intended response.
1296,Incorrect Chaining or Granularity of Debug Components,The product's debug components contain incorrect chaining or granularity of debug components.,121;702,284,Implementation,Ensure that debug components are properly chained and their granularity is maintained at different authentication levels.
1297,Unprotected Confidential Information on Device is Accessible by OSAT Vendors,The product does not adequately protect confidential information on the device from being accessed by Outsourced Semiconductor Assembly and Test (OSAT) vendors.,1;180,285,Implementation,
1298,Hardware Logic Contains Race Conditions,A race condition in the hardware logic results in undermining security guarantees of the system.,26,362,Architecture and Design;Implementation,"Adopting design practices that encourage designers to recognize and eliminate race conditions, such as Karnaugh maps, could result in the decrease in occurrences of race conditions.;Logic redundancy can be implemented along security critical paths to prevent race conditions. To avoid metastability, it is a good practice in general to default to a secure state in which access is not given to untrusted agents."
1299,Missing Protection Mechanism for Alternate Hardware Interface,"The lack of protections on alternate paths to access
                control-protected assets (such as unprotected shadow registers
                and other external facing unguarded interfaces) allows an
                attacker to bypass existing protections to the asset that are
		only performed against the primary path.",457;554,420;288,Architecture and Design;Implementation,Protect assets from accesses against all potential interfaces and alternate paths.;Protect assets from accesses against all potential interfaces and alternate paths.;Protect assets from accesses against all potential interfaces and alternate paths.
13,ASP.NET Misconfiguration: Password in Configuration File,Storing a plaintext password in a configuration file allows anyone who can read the file access to the password-protected resource making them an easy target for attackers.,,260,Architecture and Design;Implementation,"Credentials stored in configuration files should be encrypted, Use standard APIs and industry accepted algorithms to encrypt the credentials stored in configuration files."
130,Improper Handling of Length Parameter Inconsistency,"The product parses a formatted message or structure, but it does not handle or incorrectly handles a length field that is inconsistent with the actual length of the associated data.",47,240;119;119,Implementation,"When processing structured incoming data containing a size field followed by raw data, ensure that you identify and resolve any inconsistencies between the size field and the actual size of the data.;Do not let the user control the size of the buffer.;Validate that the length of the user-supplied data is consistent with the buffer size."
1300,Improper Protection of Physical Side Channels,"The device does not contain sufficient protection
	mechanisms to prevent physical side channels from exposing
	sensitive information due to patterns in physically observable
	phenomena such as variations in power consumption,
	electromagnetic emissions (EME), or acoustic emissions.",189;699,203;203,Implementation,Apply blinding or masking techniques to implementations of cryptographic algorithms.;Add shielding or tamper-resistant protections to the device to increase the difficulty of obtaining measurements of the side-channel.
1301,Insufficient or Incomplete Data Removal within Hardware Component,The product's data removal process does not completely delete all data and potentially sensitive information within hardware components.,37,226,Implementation,"Apply blinding or masking techniques to implementations of cryptographic algorithms.;Alter the method of erasure, add protection of media, or destroy the media to protect the data."
1302,Missing Source Identifier in Entity Transactions on a System-On-Chip (SOC),The product implements a security identifier mechanism to differentiate what actions are allowed or disallowed when a transaction originates from an entity. A transaction is sent without a security identifier.,121;681,1294,Architecture and Design;Implementation,Transaction details must be reviewed for design inconsistency and common weaknesses.;Security identifier definition and programming flow must be tested in pre-silicon and post-silicon testing.
1303,Non-Transparent Sharing of Microarchitectural Resources,"Hardware structures shared across execution contexts (e.g., caches and branch predictors) can violate the expected architecture isolation between contexts.",663,1189;203,Architecture and Design;Implementation,"Microarchitectural covert channels can be addressed using a mixture of hardware and software mitigation techniques. These include partitioned caches, new barrier and flush instructions, and disabling high resolution performance counters and timers.;Microarchitectural covert channels can be addressed using a mixture of hardware and software mitigation techniques. These include partitioned caches, new barrier and flush instructions, and disabling high resolution performance counters and timers."
1304,Improperly Preserved Integrity of Hardware Configuration State During a Power Save/Restore Operation,"The product performs a power save/restore
            operation, but it does not ensure that the integrity of
            the configuration state is maintained and/or verified between
	    the beginning and ending of the operation.",176,284,Architecture and Design;Integration,"Inside the IP, incorporate integrity checking
                        on the configuration state via a cryptographic
                        hash. The hash can be protected inside the IP such as
                        by storing it in internal registers which never lose
                        power. Before powering down, the IP performs a hash of
                        the configuration and saves it in these persistent
                        registers. Upon restore, the IP performs a hash of the
                        saved configuration and compares it with the
                        saved hash. If they do not match, then the IP should
                        not trust the configuration.;Outside the IP, incorporate integrity checking
                        of the configuration state via a trusted agent. Before
                        powering down, the trusted agent performs a hash of the
                        configuration and saves the hash in persistent storage.
                        Upon restore, the IP requests the trusted agent
                        validate its current configuration. If the
                        configuration hash is invalid, then the IP should not
                        trust the configuration.;Outside the IP, incorporate a protected
                        environment that prevents undetected modification of
                        the configuration state by untrusted agents. Before
                        powering down, a trusted agent saves the IP's
                        configuration state in this protected location that
                        only it is privileged to. Upon restore, the trusted
                        agent loads the saved state into the IP."
131,Incorrect Calculation of Buffer Size,"The product does not correctly calculate the size to be used when allocating a buffer, which could lead to a buffer overflow.",100;47,682;682;682;682,Implementation,"When allocating a buffer for the purpose of transforming, converting, or encoding an input, allocate enough memory to handle the largest possible encoding. For example, in a routine that converts ""&"" characters to ""&amp;"" for HTML entity encoding, the output buffer needs to be at least 5 times as large as the input buffer.;;Perform input validation on any numeric input by ensuring that it is within the expected range. Enforce that the input meets both the minimum and maximum requirements for the expected range.;For any security checks that are performed on the client side, ensure that these checks are duplicated on the server side, in order to avoid CWE-602. Attackers can bypass the client-side checks by modifying values after the checks have been performed, or by changing the client to remove the client-side checks entirely. Then, these modified values would be submitted to the server.;When processing structured incoming data containing a size field followed by raw data, identify and resolve any inconsistencies between the size field and the actual size of the data (CWE-130).;When allocating memory that uses sentinels to mark the end of a data structure - such as NUL bytes in strings - make sure you also include the sentinel in your calculation of the total amount of memory that must be allocated.;Replace unbounded copy functions with analogous functions that support length arguments, such as strcpy with strncpy. Create these if they are not available.;Use sizeof() on the appropriate data type to avoid CWE-467.;Use the appropriate type for the desired action. For example, in C/C++, only use unsigned types for values that could never be negative, such as height, width, or other numbers related to quantity. This will simplify validation and will reduce surprises related to unexpected casting.;;;;;Examine compiler warnings closely and eliminate problems with potential security implications, such as signed / unsigned mismatch in memory operations, or use of uninitialized variables. Even if the weakness is rarely exploitable, a single failure may lead to the compromise of the entire system.;Run your code using the lowest privileges that are required to accomplish the necessary tasks [REF-76]. If possible, create isolated accounts with limited privileges that are only used for a single task. That way, a successful attack will not immediately give the attacker access to the rest of the software or its environment. For example, database applications rarely need to run as the database administrator, especially in day-to-day operations.;"
1310,Missing Ability to Patch ROM Code,Missing an ability to patch ROM code may leave a System or System-on-Chip (SoC) in a vulnerable state.,682,1329,Architecture and Design;Implementation;Integration;Manufacturing,"Secure patch support to allow ROM code to be patched on the next boot.;Support patches that can be programmed in-field or during manufacturing through hardware fuses. This feature can be used for limited patching of devices after shipping, or for the next batch of silicon devices manufactured, without changing the full device ROM."
1311,Improper Translation of Security Attributes by Fabric Bridge,The bridge incorrectly translates security attributes from either trusted to untrusted or from untrusted to trusted when converting from one fabric protocol to another.,1;180;233,284,Architecture and Design;Implementation,The translation must map signals in such a way that untrusted agents cannot map to trusted agents or vice-versa.;Ensure that the translation maps signals in such a way that untrusted agents cannot map to trusted agents or vice-versa.
1312,Missing Protection for Mirrored Regions in On-Chip Fabric Firewall,"The firewall in an on-chip fabric protects the main addressed region, but it does not protect any mirrored memory or memory-mapped-IO (MMIO) regions.",456;679,284,Architecture and Design;Implementation,The fabric firewall should apply the same protections as the original region to the mirrored regions.;The fabric firewall should apply the same protections as the original region to the mirrored regions.
1313,Hardware Allows Activation of Test or Debug Logic at Runtime,"During runtime, the hardware allows for test or debug logic (feature) to be activated, which allows for changing the state of the hardware. This feature can alter the intended behavior of the system and allow for alteration and leakage of sensitive data by an adversary.",121,284,Architecture and Design;Implementation;Integration,"Insert restrictions on when the hardware's test or debug features can be activated. For example, during normal operating modes, the hardware's privileged modes that allow access to such features cannot be activated. Configuring the hardware to only enter a test or debug mode within a window of opportunity such as during boot or configuration stage. The result is disablement of such test/debug features and associated modes during normal runtime operations.;Insert restrictions on when the hardware's test or debug features can be activated. For example, during normal operating modes, the hardware's privileged modes that allow access to such features cannot be activated. Configuring the hardware to only enter a test or debug mode within a window of opportunity such as during boot or configuration stage. The result is disablement of such test/debug features and associated modes during normal runtime operations.;Insert restrictions on when the hardware's test or debug features can be activated. For example, during normal operating modes, the hardware's privileged modes that allow access to such features cannot be activated. Configuring the hardware to only enter a test or debug mode within a window of opportunity such as during boot or configuration stage. The result is disablement of such test/debug features and associated modes during normal runtime operations."
1314,Missing Write Protection for Parametric Data Values,"The device does not write-protect the parametric data values for sensors that scale the sensor value, allowing untrusted software to manipulate the apparent result and potentially damage hardware or cause operational failure.",1,862,Architecture and Design;Implementation,Access controls for sensor blocks should ensure that only trusted software is allowed to change threshold limits and sensor parametric data.
1315,Improper Setting of Bus Controlling Capability in Fabric End-point,The bus controller enables bits in the fabric end-point to allow responder devices to control transactions on the fabric.,1;180,284,Architecture and Design;Implementation;System Configuration,"For responder devices, the register bit in the fabric end-point that enables the bus controlling capability must be set to 0 by default. This bit should not be set during secure-boot flows. Also, writes to this register must be access-protected to prevent malicious modifications to obtain bus-controlling capability.;For responder devices, the register bit in the fabric end-point that enables the bus controlling capability must be set to 0 by default. This bit should not be set during secure-boot flows. Also, writes to this register must be access-protected to prevent malicious modifications to obtain bus-controlling capability.;For responder devices, the register bit in the fabric end-point that enables the bus controlling capability must be set to 0 by default. This bit should not be set during secure-boot flows. Also, writes to this register must be access-protected to prevent malicious modifications to obtain bus-controlling capability."
1316,Fabric-Address Map Allows Programming of Unwarranted Overlaps of Protected and Unprotected Ranges,"The address map of the on-chip fabric has protected and unprotected regions overlapping, allowing an attacker to bypass access control to the overlapping portion of the protected region.",456;679,284,Architecture and Design;Implementation,"When architecting the address map of the chip, ensure that protected and unprotected ranges are isolated and do not overlap. When designing, ensure that ranges hardcoded in Register-Transfer Level (RTL) do not overlap.;Ranges configured by firmware should not overlap. If overlaps are mandatory because of constraints such as a limited number of registers, then ensure that no assets are present in the overlapped portion.;Validate mitigation actions with robust testing."
1317,Improper Access Control in Fabric Bridge,"The product uses a fabric bridge for transactions between two Intellectual Property (IP) blocks, but the bridge does not properly perform the expected privilege, identity, or other access control checks between those IP blocks.",122,284,Architecture and Design;Implementation,Ensure that the design includes provisions for access-control checks in the bridge for both upstream and downstream transactions.;Implement access-control checks in the bridge for both upstream and downstream transactions.
1318,Missing Support for Security Features in On-chip Fabrics or Buses," On-chip fabrics or buses either do not support or are not configured to support privilege separation or other security features, such as access control. ",1;180,693,Architecture and Design;Implementation,"If fabric does not support security features, implement security checks in a bridge or any component that is between the master and the fabric.  Alternatively, connect all fabric slaves that do not have any security assets under one such fabric and connect peripherals with security assets to a different fabric that supports security features."
1319,Improper Protection against Electromagnetic Fault Injection (EM-FI),"The device is susceptible to electromagnetic fault injection attacks, causing device internal information to be compromised or security mechanisms to be bypassed.",624;625,693,Architecture and Design;Implementation,
132,DEPRECATED: Miscalculated Null Termination,This entry has been deprecated because it was a duplicate of CWE-170. All content has been transferred to CWE-170.,,,,
1320,Improper Protection for Outbound Error Messages and Alert Signals,"Untrusted agents can disable alerts about signal conditions exceeding limits or the response mechanism that handles such alerts.
			",1;180,284,Architecture and Design;Implementation,Alert signals generated by critical events should be protected from access by untrusted agents. Only hardware or trusted firmware modules should be able to alter the alert configuration.
1321,Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),"The product receives input from an upstream component that specifies attributes that are to be initialized or updated in an object, but it does not properly control modifications of attributes of the object prototype.",1;180;77,915;913,Architecture and Design;Implementation,"By freezing the object prototype first (for example, Object.freeze(Object.prototype)), modification of the prototype becomes impossible.;By blocking modifications of attributes that resolve to object prototype, such as proto or prototype, this weakness can be mitigated.;When handling untrusted objects, validating using a schema can be used.;By using an object without prototypes (via Object.create(null) ), adding object prototype attributes by accessing the prototype via the special attributes becomes impossible, mitigating this weakness.;Map can be used instead of objects in most cases. If Map methods are used instead of object attributes, it is not possible to access the object prototype or modify it."
1322,"Use of Blocking Code in Single-threaded, Non-blocking Context","The product uses a non-blocking model that relies on a single threaded process
			for features such as scalability, but it contains code that can block when it is invoked.",25,834,Implementation,"Generally speaking, blocking calls should be
					replaced with non-blocking alternatives that can be used asynchronously.
					Expensive computations should be passed off to worker threads, although
					the correct approach depends on the framework being used.;For expensive computations, consider breaking them up into
					multiple smaller computations. Refer to the documentation of the
					framework being used for guidance."
1323,Improper Management of Sensitive Trace Data,"Trace data collected from several sources on the
                System-on-Chip (SoC) is stored in unprotected locations or
                transported to untrusted agents.",150;167;545,284,Architecture and Design;Implementation,"Tag traces to indicate owner and debugging privilege level (designer, OEM, or end user) needed to access that trace."
